Activity,Start time,Duration,Day of activity,Weekend or weekday
-1.042412779332186012e+00,8.223359399019500859e-01,-6.934601520185561252e-02,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,8.531616154633299143e-01,-2.298956305736455652e-01,1.017048677473317841e+00,1.637945191429761360e+00
4.034557342073784580e-01,8.563035302997105136e-01,-2.308953168461971572e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,8.590614333227557520e-01,-2.252970737199081197e-01,1.017048677473317841e+00,1.637945191429761360e+00
-9.109701871922255556e-01,8.626571803021693130e-01,-1.491209797514747859e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,8.795537000889278589e-01,-2.190990188300880603e-01,1.017048677473317841e+00,1.637945191429761360e+00
1.849324247746942929e+00,8.842316621786502351e-01,-2.137007129583093079e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,8.912136951483852210e-01,-2.330946266458107097e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,8.975673451508440204e-01,-2.302955050826661909e-01,1.017048677473317841e+00,1.637945191429761360e+00
-6.480850029123047529e-01,9.003950685035866375e-01,-1.975057953429731339e-01,1.017048677473317841e+00,1.637945191429761360e+00
-5.166424107723442960e-01,9.102048248260641294e-01,-1.205299523564985070e-01,1.017048677473317841e+00,1.637945191429761360e+00
-2.537572264924235488e-01,9.320934981861832558e-01,1.825259408537971417e+00,1.017048677473317841e+00,1.637945191429761360e+00
-3.851998186323839501e-01,1.294740290634216029e+00,-2.264966972469700246e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,1.300291006845155417e+00,-2.300955678281558781e-01,1.017048677473317841e+00,1.637945191429761360e+00
-3.851998186323839501e-01,1.305736992561548737e+00,-2.208984541206809871e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,1.310310224156725045e+00,-2.324948148822797434e-01,1.017048677473317841e+00,1.637945191429761360e+00
-3.851998186323839501e-01,1.312649205201586122e+00,-2.266966345014803375e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,1.316663874159183623e+00,-2.176994580485157871e-01,1.017048677473317841e+00,1.637945191429761360e+00
9.127957787497276501e-03,1.322005129381030875e+00,1.775764941183940460e-01,1.017048677473317841e+00,1.637945191429761360e+00
-1.042412779332186012e+00,1.397725276937806571e+00,-1.997051051425866586e-01,1.017048677473317841e+00,1.637945191429761360e+00
-9.109701871922255556e-01,1.406313177490580379e+00,-1.829103757637194905e-01,1.017048677473317841e+00,1.637945191429761360e+00
9.127957787497276501e-03,1.420137602770655594e+00,2.139650744392730120e-01,1.017048677473317841e+00,1.637945191429761360e+00
1.980766839886903163e+00,-1.405805331564712324e+00,-1.993052306335660329e-01,1.017048677473317841e+00,1.637945191429761360e+00
9.127957787497276501e-03,-1.414218681293242685e+00,-2.021043521967105794e-01,1.017048677473317841e+00,1.637945191429761360e+00
1.980766839886903163e+00,-1.422178198878740529e+00,-2.304954423371765038e-01,1.017048677473317841e+00,1.637945191429761360e+00
2.112209432026863620e+00,-1.425180473055726704e+00,-1.307267523365250039e-01,1.017048677473317841e+00,1.637945191429761360e+00
9.127957787497276501e-03,-1.446824775261904783e+00,-8.374149752659892920e-02,1.017048677473317841e+00,1.637945191429761360e+00
2.243652024166823633e+00,-1.475451110437818292e+00,-2.308953168461971572e-01,1.017048677473317841e+00,1.637945191429761360e+00
